=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
-----                     ------               -----
INT                       int                  1
SEPARADOR                 ~                    1
IDENTIFICADOR             factorial            1
INICIO_PARENTESIS         <|                   1
INT                       int                  1
SEPARADOR                 ~                    1
IDENTIFICADOR             n                    1
FIN_PARENTESIS            |>                   1
INICIO_BLOQUE             |:                   1
INT                       int                  2
SEPARADOR                 ~                    2
IDENTIFICADOR             resultado            2
ASIGNACION                <-                   2
NUMERO_ENTERO             1                    2
DELIMITADOR_EXP           !                    2
DO                        do                   3
INICIO_BLOQUE             |:                   3
RETURN                    return               4
SEPARADOR                 ~                    4
IDENTIFICADOR             resultado            4
DELIMITADOR_EXP           !                    4
FIN_BLOQUE                :|                   5
WHILE                     while                5
INICIO_PARENTESIS         <|                   5
LESS_TE                   less_te              5
INICIO_PARENTESIS         <|                   5
IDENTIFICADOR             n                    5
COMA                      ,                    5
NUMERO_ENTERO             1                    5
FIN_PARENTESIS            |>                   5
FIN_PARENTESIS            |>                   5
DELIMITADOR_EXP           !                    5
INT                       int                  6
SEPARADOR                 ~                    6
IDENTIFICADOR             prev                 6
ASIGNACION                <-                   6
IDENTIFICADOR             factorial            6
INICIO_PARENTESIS         <|                   6
IDENTIFICADOR             n                    6
MENOS                     -                    6
NUMERO_ENTERO             1                    6
FIN_PARENTESIS            |>                   6
DELIMITADOR_EXP           !                    6
IDENTIFICADOR             resultado            7
ASIGNACION                <-                   7
IDENTIFICADOR             n                    7
MULTIPLICACION            *                    7
IDENTIFICADOR             prev                 7
DELIMITADOR_EXP           !                    7
RETURN                    return               8
SEPARADOR                 ~                    8
IDENTIFICADOR             resultado            8
DELIMITADOR_EXP           !                    8
FIN_BLOQUE                :|                   9
EMPTY                     empty                11
SEPARADOR                 ~                    11
PALABRA_MAIN              __main__             11
SEPARADOR                 ~                    11
INICIO_PARENTESIS         <|                   11
FIN_PARENTESIS            |>                   11
INICIO_BLOQUE             |:                   11
COUT                      cout                 12
SEPARADOR                 ~                    12
INICIO_PARENTESIS         <|                   12
CADENA                    === FACTORIAL RECURSIVO === 12
FIN_PARENTESIS            |>                   12
DELIMITADOR_EXP           !                    12
COUT                      cout                 12
SEPARADOR                 ~                    12
INICIO_PARENTESIS         <|                   12
CADENA                    
                    12
FIN_PARENTESIS            |>                   12
