=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
-----                     ------               -----
INT                       int                  1
SEPARADOR                 ~                    1
IDENTIFICADOR             fibonacci            1
INICIO_PARENTESIS         <|                   1
INT                       int                  1
SEPARADOR                 ~                    1
IDENTIFICADOR             n                    1
FIN_PARENTESIS            |>                   1
INICIO_BLOQUE             |:                   1
RETURN                    return               2
SEPARADOR                 ~                    2
NUMERO_ENTERO             0                    2
DELIMITADOR_EXP           !                    2
FIN_BLOQUE                :|                   3
INT                       int                  5
SEPARADOR                 ~                    5
IDENTIFICADOR             potencia             5
INICIO_PARENTESIS         <|                   5
INT                       int                  5
SEPARADOR                 ~                    5
IDENTIFICADOR             base                 5
COMA                      ,                    5
INT                       int                  5
SEPARADOR                 ~                    5
IDENTIFICADOR             exp                  5
FIN_PARENTESIS            |>                   5
INICIO_BLOQUE             |:                   5
RETURN                    return               6
SEPARADOR                 ~                    6
IDENTIFICADOR             base                 6
POTENCIA                  ^                    6
IDENTIFICADOR             exp                  6
DELIMITADOR_EXP           !                    6
FIN_BLOQUE                :|                   7
BOOL                      bool                 9
SEPARADOR                 ~                    9
IDENTIFICADOR             validar              9
INICIO_PARENTESIS         <|                   9
INT                       int                  9
SEPARADOR                 ~                    9
IDENTIFICADOR             x                    9
COMA                      ,                    9
INT                       int                  9
SEPARADOR                 ~                    9
IDENTIFICADOR             y                    9
COMA                      ,                    9
INT                       int                  9
SEPARADOR                 ~                    9
IDENTIFICADOR             z                    9
FIN_PARENTESIS            |>                   9
INICIO_BLOQUE             |:                   9
RETURN                    return               10
SEPARADOR                 ~                    10
EQUAL                     equal                10
INICIO_PARENTESIS         <|                   10
GREATER_T                 greather_t           11
INICIO_PARENTESIS         <|                   11
IDENTIFICADOR             potencia             11
INICIO_PARENTESIS         <|                   11
IDENTIFICADOR             x                    11
COMA                      ,                    11
NUMERO_ENTERO             2                    11
FIN_PARENTESIS            |>                   11
COMA                      ,                    11
IDENTIFICADOR             y                    11
FIN_PARENTESIS            |>                   11
COMA                      ,                    11
N_EQUAL                   n_equal              12
INICIO_PARENTESIS         <|                   12
IDENTIFICADOR             z                    12
COMA                      ,                    12
NUMERO_ENTERO             0                    12
FIN_PARENTESIS            |>                   12
FIN_PARENTESIS            |>                   13
DELIMITADOR_EXP           !                    13
